State,County,Total Precincts,Precincts Reporting,Obama,McCain,Other
Alabama,Autauga ,25,25,"6,091","17,398",121
Alabama,Baldwin ,70,70,"19,362","61,192",640
Alabama,Barbour ,21,21,"5,685","5,862",58
Alabama,Bibb ,10,9,"2,289","6,247",68
Alabama,Blount ,27,27,"3,518","20,362",292
Alabama,Bullock ,18,18,"4,001","1,389",10
Alabama,Butler ,28,28,"4,174","5,472",33
Alabama,Calhoun ,54,54,"16,325","32,326",493
Alabama,Chambers ,25,25,"6,782","8,060",75
Alabama,Cherokee ,26,26,"2,299","7,285",123
Alabama,Chilton ,19,19,"3,666","13,934",127
Alabama,Choctaw ,33,33,"3,633","4,220",27
Alabama,Clarke ,31,31,"5,907","7,455",50
Alabama,Clay ,25,25,"1,722","4,946",59
Alabama,Cleburne ,17,17,"1,166","5,204",98
Alabama,Coffee ,34,34,"5,068","14,909",114
Alabama,Colbert ,36,36,"9,698","14,729",297
Alabama,Conecuh ,28,28,"3,411","3,461",42
Alabama,Coosa ,14,14,"2,269","3,245",40
Alabama,Covington ,30,30,"3,238","12,431",88
Alabama,Crenshaw ,20,20,"1,938","4,316",28
Alabama,Cullman ,52,52,"5,855","28,837",466
Alabama,Dale ,23,23,"5,257","13,873",149
Alabama,Dallas ,32,32,"13,958","6,791",57
Alabama,DeKalb ,51,51,"5,654","17,951",279
Alabama,Elmore ,32,32,"8,268","25,695",192
Alabama,Escambia ,34,34,"5,176","9,365",91
Alabama,Etowah ,58,58,"13,480","30,562",537
Alabama,Fayette ,29,29,"1,988","5,875",80
Alabama,Franklin ,26,26,"3,469","8,048",153
Alabama,Geneva ,28,28,"2,106","9,314",98
Alabama,Greene ,16,16,"4,402",876,16
Alabama,Hale ,18,18,"4,969","3,196",25
Alabama,Henry ,17,17,"2,990","5,558",39
Alabama,Houston ,38,38,"12,194","29,205",213
Alabama,Jackson ,43,43,"6,367","14,068",338
Alabama,Jefferson ,378,378,"166,015","149,843","1,768"
Alabama,Lamar ,27,27,"1,614","5,419",42
Alabama,Lauderdale ,39,39,"13,318","24,050",592
Alabama,Lawrence ,31,31,"5,159","9,269",190
Alabama,Lee ,37,37,"21,410","32,344",472
Alabama,Limestone ,35,35,"9,530","23,588",349
Alabama,Lowndes ,15,15,"5,447","1,807",18
Alabama,Macon ,19,18,"9,444","1,396",24
Alabama,Madison ,106,106,"64,062","86,910","1,452"
Alabama,Marengo ,27,27,"5,925","5,511",28
Alabama,Marion ,23,23,"2,597","9,530",186
Alabama,Marshall ,47,47,"7,021","25,680",325
Alabama,Mobile ,200,200,"81,741","97,670",985
Alabama,Monroe ,34,34,"5,023","6,173",40
Alabama,Montgomery ,123,123,"61,999","41,972",421
Alabama,Morgan ,59,59,"13,882","35,986",493
Alabama,Perry ,18,18,"4,423","1,676",20
Alabama,Pickens ,27,27,"4,584","5,426",29
Alabama,Pike ,30,30,"5,856","7,981",61
Alabama,Randolph ,28,28,"3,062","7,169",130
Alabama,Russell ,22,22,"10,078","8,700",105
Alabama,Shelby ,76,76,"20,575","68,945",772
Alabama,St. Clair ,37,37,"6,088","27,630",297
Alabama,Sumter ,15,15,"5,218","1,723",23
Alabama,Talladega ,34,34,"13,769","20,109",265
Alabama,Tallapoosa ,31,30,"6,052","13,105",110
Alabama,Tuscaloosa ,101,101,"32,738","45,351",519
Alabama,Walker ,47,47,"7,418","20,719",370
Alabama,Washington ,36,36,"3,032","5,592",42
Alabama,Wilcox ,30,30,"4,553","1,849",10
Alabama,Winston ,23,23,"1,756","8,099",149
Alaska,Alaska ,438,438,"80,505","136,585","5,005"
Arizona,Apache ,45,45,"15,141","8,381",292
Arizona,Cochise ,64,64,"17,944","27,590",774
Arizona,Coconino ,85,85,"27,064","19,449",597
Arizona,Gila ,39,39,"7,566","13,425",327
Arizona,Graham ,18,18,"3,487","8,375",139
Arizona,Greenlee ,8,8,"1,165","1,711",36
Arizona,La Paz ,12,12,"1,794","3,302",97
Arizona,Maricopa ,"1,142","1,142","542,206","675,027","13,907"
Arizona,Mohave ,73,73,"21,286","42,729","1,048"
Arizona,Navajo ,70,70,"14,953","19,199",400
Arizona,Pima ,417,417,"191,465","168,670","4,244"
Arizona,Pinal ,88,88,"42,905","57,714","1,173"
Arizona,Santa Cruz ,24,24,"8,680","4,517",101
Arizona,Yavapai ,112,112,"34,731","58,043","1,386"
Arizona,Yuma ,42,42,"17,679","23,658",440
Arkansas,Arkansas ,26,26,"2,616","4,184",174
Arkansas,Ashley ,23,23,"2,883","5,166",248
Arkansas,Baxter ,43,43,"6,531","12,841",588
Arkansas,Benton ,83,83,"23,412","50,855","1,638"
Arkansas,Boone ,29,29,"4,429","10,559",462
Arkansas,Bradley ,16,16,"1,673","2,259",99
Arkansas,Calhoun ,12,12,690,"1,459",64
Arkansas,Carroll ,31,31,"4,160","6,070",323
Arkansas,Chicot ,14,14,"2,927","1,935",41
Arkansas,Clark ,19,19,"4,265","4,608",219
Arkansas,Clay ,21,21,"2,245","3,032",234
Arkansas,Cleburne ,36,36,"2,951","7,962",425
Arkansas,Cleveland ,19,19,909,"2,443",143
Arkansas,Columbia ,17,17,"3,496","5,711",141
Arkansas,Conway ,33,33,"3,144","4,687",298
Arkansas,Craighead ,26,26,"11,279","18,859",792
Arkansas,Crawford ,42,42,"5,265","14,746",606
Arkansas,Crittenden ,45,45,"9,361","7,420",272
Arkansas,Cross ,24,24,"2,580","4,393",157
Arkansas,Dallas ,10,10,"1,470","1,756",90
Arkansas,Desha ,22,22,"2,546","1,977",106
Arkansas,Drew ,17,17,"2,598","3,860",152
Arkansas,Faulkner ,51,51,"14,099","25,310",862
Arkansas,Franklin ,31,31,"1,868","4,407",195
Arkansas,Fulton ,14,14,"1,818","2,700",155
Arkansas,Garland ,42,42,"14,987","25,011",916
Arkansas,Grant ,20,20,"1,562","5,022",208
Arkansas,Greene ,32,32,"4,541","8,578",493
Arkansas,Hempstead ,30,30,"2,861","4,252",206
Arkansas,Hot Spring ,35,35,"4,216","7,014",449
